model,feature_representation,target,r2,mae
Random Forest,raw_scaled,zeta,-0.04536295713104965,18.117261829396988
Random Forest,raw_scaled,log10_Tvir,-0.011870428306012704,0.3770528877053354
Random Forest,raw_scaled,R_mfp,0.541308984500434,4.122118107302799
Random Forest,raw_scaled,log10_LX,-0.014740862686264178,0.9985362531061236
Random Forest,raw_scaled,sigma8,0.9580906113759347,0.006876456170330785
Random Forest,log_scaled,zeta,-0.04497567843707628,18.113287887186743
Random Forest,log_scaled,log10_Tvir,-0.011803649536969774,0.37700156034596377
Random Forest,log_scaled,R_mfp,0.5413421550509819,4.121208819929991
Random Forest,log_scaled,log10_LX,-0.015368145247019793,0.9986881308861746
Random Forest,log_scaled,sigma8,0.9580809582219331,0.006878652747931108
MLP,raw_scaled,zeta,-0.01683197645015566,17.99211558487835
MLP,raw_scaled,log10_Tvir,-0.07965624607011179,0.3874561394685865
MLP,raw_scaled,R_mfp,0.6369719918742851,3.467093038216726
MLP,raw_scaled,log10_LX,-0.04788691528062805,1.0097517196453127
MLP,raw_scaled,sigma8,0.9782344779917249,0.005056360605554847
MLP,log_scaled,zeta,-0.01883031091272258,17.943889177343816
MLP,log_scaled,log10_Tvir,-0.0894700757205773,0.38809963017987414
MLP,log_scaled,R_mfp,0.6111348524937419,3.6209115171914705
MLP,log_scaled,log10_LX,-0.03198317315412047,1.0042822214327487
MLP,log_scaled,sigma8,0.9780839858035436,0.005014548365697076
