complexity,loss,equation,score,sympy_format,lambda_format
1,51.820675,17.53454,0.0,17.5345400000000,PySRFunction(X=>17.5345400000000)
3,46.023163,x38 + 17.534237,0.05932219383799431,x38 + 17.534237,PySRFunction(X=>x38 + 17.534237)
5,40.26912,(x38 + 5.1590643) * 3.3987691,0.06677994555147106,(x38 + 5.1590643)*3.3987691,PySRFunction(X=>(x38 + 5.1590643)*3.3987691)
6,39.31576,sqrt(2.6838064 - x45) * 10.945691,0.02395946582817148,10.945691*sqrt(2.6838064 - x45),PySRFunction(X=>10.945691*sqrt(2.6838064 - x45))
7,36.588085,((x38 - x45) / 0.41909105) - -17.271948,0.07190281534328292,(x38 - x45)/0.41909105 - 1*(-17.271948),PySRFunction(X=>(x38 - x45)/0.41909105 - 1*(-17.271948))
9,28.568008,((x38 - (x46 + x12)) * 3.6185212) - -17.534563,0.12371757531588637,(x38 - (x12 + x46))*3.6185212 - 1*(-17.534563),PySRFunction(X=>(x38 - (x12 + x46))*3.6185212 - 1*(-17.534563))
11,27.931543,((x38 - (x12 + x46)) * 3.4525173) - (-17.534554 - x41),0.011265433319296246,(x38 - (x12 + x46))*3.4525173 - (-x41 - 17.534554),PySRFunction(X=>(x38 - (x12 + x46))*3.4525173 - (-x41 - 17.534554))
13,26.873098,((((x38 - (x46 + x12)) * 3.4525173) - -17.534554) - x19) - x44,0.019315455918389412,-x19 - x44 + (x38 - (x12 + x46))*3.4525173 - 1*(-17.534554),PySRFunction(X=>-x19 - x44 + (x38 - (x12 + x46))*3.4525173 - 1*(-17.534554))
15,25.926216,((((x38 - (x46 + x12)) * 3.4525173) - -17.534554) - x19) + (x41 - x44),0.017935527151214128,-x19 + x41 - x44 + (x38 - (x12 + x46))*3.4525173 - 1*(-17.534554),PySRFunction(X=>-x19 + x41 - x44 + (x38 - (x12 + x46))*3.4525173 - 1*(-17.534554))
17,25.607698,((((((x38 - (x46 + x12)) * 3.4525173) - -17.534554) - x19) - x0) + x41) - x44,0.006180824069759574,-x0 - x19 + x41 - x44 + (x38 - (x12 + x46))*3.4525173 - 1*(-17.534554),PySRFunction(X=>-x0 - x19 + x41 - x44 + (x38 - (x12 + x46))*3.4525173 - 1*(-17.534554))
19,25.52119,((((x38 - (x46 + x12)) + 0.6917613) * 3.067448) + (x41 - -15.412526)) - ((x19 + x44) * 1.5283979),0.001691960962454711,x41 - 1.5283979*(x19 + x44) + (x38 - (x12 + x46) + 0.6917613)*3.067448 - 1*(-15.412526),PySRFunction(X=>x41 - 1.5283979*(x19 + x44) + (x38 - (x12 + x46) + 0.6917613)*3.067448 - 1*(-15.412526))
