complexity,loss,equation,score,sympy_format,lambda_format
1,51.820675,17.53454,0.0,17.5345400000000,PySRFunction(X=>17.5345400000000)
3,45.713993,17.534452 - x45,0.06269237865745553,17.534452 - x45,PySRFunction(X=>17.534452 - x45)
5,39.194435,(4.9352818 - x45) / 0.2814653,0.0769348355800697,(4.9352818 - x45)/0.2814653,PySRFunction(X=>(4.9352818 - x45)/0.2814653)
7,28.153755,((1.3601621 - x17) - x51) / 0.077864446,0.1654270171015747,(-x17 - x51 + 1.3601621)/0.077864446,PySRFunction(X=>(-x17 - x51 + 1.3601621)/0.077864446)
9,25.862417,(((1.5209415 - x51) - x17) / 0.08522019) + x38,0.04244495222150188,x38 + (-x17 - x51 + 1.5209415)/0.08522019,PySRFunction(X=>x38 + (-x17 - x51 + 1.5209415)/0.08522019)
11,24.594326,(x38 + (((1.5209415 - x51) - x17) / 0.08522019)) + x41,0.02513753392937462,x38 + x41 + (-x17 - x51 + 1.5209415)/0.08522019,PySRFunction(X=>x38 + x41 + (-x17 - x51 + 1.5209415)/0.08522019)
13,23.808876,(x41 * (1.4715648 - x17)) + (((1.4915079 - x53) - x17) / 0.0841547),0.016228656799646354,x41*(1.4715648 - x17) + (-x17 - x53 + 1.4915079)/0.0841547,PySRFunction(X=>x41*(1.4715648 - x17) + (-x17 - x53 + 1.4915079)/0.0841547)
15,21.576597,(((1.5120364 - x53) - x17) / 0.0845722) + ((x41 + x38) * (1.2898489 - x17)),0.049224598620533674,(1.2898489 - x17)*(x38 + x41) + (-x17 - x53 + 1.5120364)/0.0845722,PySRFunction(X=>(1.2898489 - x17)*(x38 + x41) + (-x17 - x53 + 1.5120364)/0.0845722)
17,21.414162,(((1.5120364 - x53) - x17) / 0.0845722) + ((1.332024 - x15) * (x41 + (x38 - -0.25900814))),0.003778388117898075,(1.332024 - x15)*(x38 + x41 - 1*(-0.25900814)) + (-x17 - x53 + 1.5120364)/0.0845722,PySRFunction(X=>(1.332024 - x15)*(x38 + x41 - 1*(-0.25900814)) + (-x17 - x53 + 1.5120364)/0.0845722)
19,21.267212,(((x41 + (x38 - -0.32391825)) * 1.2211273) * (1.1047411 - x17)) + (((1.4909086 - x53) - x17) / 0.08345899),0.0034429674323321123,(x38 + x41 - 1*(-0.32391825))*1.2211273*(1.1047411 - x17) + (-x17 - x53 + 1.4909086)/0.08345899,PySRFunction(X=>(x38 + x41 - 1*(-0.32391825))*1.2211273*(1.1047411 - x17) + (-x17 - x53 + 1.4909086)/0.08345899)
