complexity,loss,equation,score,sympy_format,lambda_format
1,1.3362771,39.974545,0.0,39.9745450000000,PySRFunction(X=>39.9745450000000)
4,1.3348105,sqrt(1598.2098 - x43),0.00036604319213884556,sqrt(1598.2098 - x43),PySRFunction(X=>sqrt(1598.2098 - x43))
5,1.3320175,39.974636 - (x43 * 0.06535455),0.002094624041129555,39.974636 - 0.06535455*x43,PySRFunction(X=>39.974636 - 0.06535455*x43)
6,1.330994,sqrt((0.2898982 / x35) - -1597.7058),0.000768678656022425,sqrt(1597.7058 + 0.2898982/x35),PySRFunction(X=>sqrt(1597.7058 + 0.2898982/x35))
7,1.3304422,39.974247 - ((x7 - x42) * -0.049855758),0.0004146633369656239,39.974247 - (-0.049855758)*(-x42 + x7),PySRFunction(X=>39.974247 - (-0.049855758)*(-x42 + x7))
8,1.3261456,sqrt((0.4432827 / (x38 + 0.4896771)) - -1597.8392),0.003234678519812898,sqrt(1597.8392 + 0.4432827/(x38 + 0.4896771)),PySRFunction(X=>sqrt(1597.8392 + 0.4432827/(x38 + 0.4896771)))
9,1.3261408,sqrt((log(1.5512487) / (x38 + 0.4896771)) - -1597.8392),3.6195186161830133e-06,sqrt(1597.8392 + 0.439060219502485/(x38 + 0.4896771)),PySRFunction(X=>sqrt(1597.8392 + 0.439060219502485/(x38 + 0.4896771)))
10,1.324755,sqrt(((0.4432827 / (x38 + 0.4896771)) - -1598.4825) - x43),0.0010455334579650092,sqrt(-x43 + 1598.4825 + 0.4432827/(x38 + 0.4896771)),PySRFunction(X=>sqrt(-x43 + 1598.4825 + 0.4432827/(x38 + 0.4896771)))
12,1.3231274,sqrt((0.46271947 / (x38 + 0.4896771)) - ((x42 / 0.3544779) + -1597.4526)),0.0006146799438623437,sqrt(-2.82105033910436*x42 + 1597.4526 + 0.46271947/(x38 + 0.4896771)),PySRFunction(X=>sqrt(-2.82105033910436*x42 + 1597.4526 + 0.46271947/(x38 + 0.4896771)))
14,1.3213233,sqrt((0.46271947 / (x38 + 0.4896771)) - (((x44 + x42) / 0.3544779) + -1597.4526)),0.0006822211810912131,sqrt(-2.82105033910436*x42 - 2.82105033910436*x44 + 1597.4526 + 0.46271947/(x38 + 0.4896771)),PySRFunction(X=>sqrt(-2.82105033910436*x42 - 2.82105033910436*x44 + 1597.4526 + 0.46271947/(x38 + 0.4896771)))
16,1.3209183,sqrt((0.4415308 / (x38 + 0.4896771)) - (((x38 - (x44 * -3.7583933)) * x9) + -1598.4825)),0.00015327894435231048,sqrt(-x9*(x38 + 3.7583933*x44) + 1598.4825 + 0.4415308/(x38 + 0.4896771)),PySRFunction(X=>sqrt(-x9*(x38 + 3.7583933*x44) + 1598.4825 + 0.4415308/(x38 + 0.4896771)))
18,1.3180019,sqrt((0.46271947 / (x38 + 0.4896771)) - (((x9 - (x44 * x39)) * (x44 + x44)) + -1598.4825)),0.0011051494423060051,sqrt(-2*x44*(-x39*x44 + x9) + 1598.4825 + 0.46271947/(x38 + 0.4896771)),PySRFunction(X=>sqrt(-2*x44*(-x39*x44 + x9) + 1598.4825 + 0.46271947/(x38 + 0.4896771)))
20,1.3168968,sqrt((x6 + (0.46271947 / (x38 + 0.4896771))) - (((x9 - (x44 * x39)) * (x44 + x44)) + -1598.4825)),0.00041940893773151556,sqrt(-2*x44*(-x39*x44 + x9) + x6 + 1598.4825 + 0.46271947/(x38 + 0.4896771)),PySRFunction(X=>sqrt(-2*x44*(-x39*x44 + x9) + x6 + 1598.4825 + 0.46271947/(x38 + 0.4896771)))
