complexity,loss,equation,score,sympy_format,lambda_format
1,1.3362771,39.974545,0.0,39.9745450000000,PySRFunction(X=>39.9745450000000)
4,1.334896,sqrt(1597.9728 - x43),0.00034469253055127973,sqrt(1597.9728 - x43),PySRFunction(X=>sqrt(1597.9728 - x43))
5,1.3324978,(x43 * -0.061500955) + 39.974636,0.0017981601713185286,39.974636 + x43*(-0.061500955),PySRFunction(X=>39.974636 + x43*(-0.061500955))
6,1.3238189,sqrt((x47 / x33) + 1598.5477),0.006534560342705775,sqrt(1598.5477 + x47/x33),PySRFunction(X=>sqrt(1598.5477 + x47/x33))
8,1.3222061,sqrt(((x47 / x33) - -1598.5752) - x43),0.0006095181261420507,sqrt(-x43 + 1598.5752 + x47/x33),PySRFunction(X=>sqrt(-x43 + 1598.5752 + x47/x33))
10,1.3191116,sqrt((x47 / x33) + ((x6 * 5.5030684) - -1598.5809)),0.0011715748604660355,sqrt(5.5030684*x6 + 1598.5809 + x47/x33),PySRFunction(X=>sqrt(5.5030684*x6 + 1598.5809 + x47/x33))
12,1.3181906,sqrt((x6 * 4.6776547) + (((x47 / x33) - -1598.5752) - x44)),0.00034922051687521805,sqrt(-x44 + 4.6776547*x6 + 1598.5752 + x47/x33),PySRFunction(X=>sqrt(-x44 + 4.6776547*x6 + 1598.5752 + x47/x33))
14,1.3160249,sqrt((1598.0587 + ((x6 - x43) / 0.22845897)) - ((x50 / -0.77064925) / x33)),0.0008221424890808974,sqrt(-4.37715358692198*x43 + 4.37715358692198*x6 + 1598.0587 + 1.29760717992005*x50/x33),PySRFunction(X=>sqrt(-4.37715358692198*x43 + 4.37715358692198*x6 + 1598.0587 + 1.29760717992005*x50/x33))
16,1.315318,sqrt((((x6 - x43) / 0.2315243) - (((x50 / -0.85916173) / x33) + x38)) + 1598.0306),0.0002686461034803711,sqrt(-x38 - 4.3192010514663*x43 + 4.3192010514663*x6 + 1598.0306 + 1.16392521347523*x50/x33),PySRFunction(X=>sqrt(-x38 - 4.3192010514663*x43 + 4.3192010514663*x6 + 1598.0306 + 1.16392521347523*x50/x33))
18,1.313945,sqrt((1596.7968 - (x24 / x33)) + ((x6 - x46) * ((2.8621051 - (x45 / 0.35243943)) - x19))),0.0005221996144175128,sqrt(-x24/x33 + (-x46 + x6)*(-x19 - 2.83736697678804*x45 + 2.8621051) + 1596.7968),PySRFunction(X=>sqrt(-x24/x33 + (-x46 + x6)*(-x19 - 2.83736697678804*x45 + 2.8621051) + 1596.7968))
20,1.3122864,sqrt(1597.5256 + (((x6 - x46) * ((((0.77580166 - x45) / 0.2962302) - x38) - x19)) - (x24 / x33))),0.0006315514392656991,sqrt(-x24/x33 + (-x46 + x6)*(-x19 - x38 - 3.37575304611076*x45 + 2.61891481692278) + 1597.5256),PySRFunction(X=>sqrt(-x24/x33 + (-x46 + x6)*(-x19 - x38 - 3.37575304611076*x45 + 2.61891481692278) + 1597.5256))
