complexity,loss,equation,score,sympy_format,lambda_format
1,0.18777302,4.747374,0.0,4.74737400000000,PySRFunction(X=>4.74737400000000)
4,0.18749577,log(x42 + 115.30176),0.0004925359419380537,log(x42 + 115.30176),PySRFunction(X=>log(x42 + 115.30176))
5,0.18736921,(-0.0004848928 / x16) - -4.747686,0.0006752298110567166,-1*(-4.747686) - 0.0004848928/x16,PySRFunction(X=>-1*(-4.747686) - 0.0004848928/x16)
6,0.18699653,sqrt((x11 - x10) - -22.5383),0.001990994812241689,sqrt(-x10 + x11 + 22.5383),PySRFunction(X=>sqrt(-x10 + x11 + 22.5383))
8,0.18699558,sqrt((x11 - x10) - -24.312674) + -0.18323147,2.540160539753952e-06,sqrt(-x10 + x11 + 24.312674) - 0.18323147,PySRFunction(X=>sqrt(-x10 + x11 + 24.312674) - 0.18323147)
9,0.18696746,4.7548804 - ((x19 * 0.08488824) * (x46 - x47)),0.000150389193825133,4.7548804 - 0.08488824*x19*(x46 - x47),PySRFunction(X=>4.7548804 - 0.08488824*x19*(x46 - x47))
10,0.18667893,sqrt(22.526882 - ((x24 * (x14 - x13)) * x24)),0.0015444016860411522,sqrt(-x24**2*(-x13 + x14) + 22.526882),PySRFunction(X=>sqrt(-x24**2*(-x13 + x14) + 22.526882))
11,0.18593961,4.7448277 - ((x24 * (x13 - x14)) * (x24 * -0.28816974)),0.003968245757019108,4.7448277 - (-0.28816974)*x24*x24*(x13 - x14),PySRFunction(X=>4.7448277 - (-0.28816974)*x24*x24*(x13 - x14))
13,0.18534422,((x28 * ((x44 + 0.36975116) * -0.41639614)) * (x13 - x14)) - -4.7477283,0.0016035993551200753,x28*(x44 + 0.36975116)*(-0.41639614)*(x13 - x14) - 1*(-4.7477283),PySRFunction(X=>x28*(x44 + 0.36975116)*(-0.41639614)*(x13 - x14) - 1*(-4.7477283))
15,0.18498313,((x28 * -0.2477342) * ((0.044702582 - (x13 - x14)) * (x24 - x44))) - -4.758355,0.000975056566666388,x28*(-0.2477342)*(0.044702582 - (x13 - x14))*(x24 - x44) - 1*(-4.758355),PySRFunction(X=>x28*(-0.2477342)*(0.044702582 - (x13 - x14))*(x24 - x44) - 1*(-4.758355))
17,0.1849063,(((x24 * 0.5658463) - x44) * ((x28 * (0.041219447 - (x13 - x14))) * -0.30975395)) - -4.7568727,0.00020771072345839102,(x24*0.5658463 - x44)*x28*(0.041219447 - (x13 - x14))*(-0.30975395) - 1*(-4.7568727),PySRFunction(X=>(x24*0.5658463 - x44)*x28*(0.041219447 - (x13 - x14))*(-0.30975395) - 1*(-4.7568727))
19,0.18469629,(((x28 - (x39 / 1.9795828)) * -0.2881668) * ((x24 - x44) * (0.035514977 - (x13 - x14)))) - -4.753674,0.0005682049538696061,(x28 - x39/1.9795828)*(-0.2881668)*(x24 - x44)*(0.035514977 - (x13 - x14)) - 1*(-4.753674),PySRFunction(X=>(x28 - x39/1.9795828)*(-0.2881668)*(x24 - x44)*(0.035514977 - (x13 - x14)) - 1*(-4.753674))
20,0.18468292,(((x28 - (x39 * sqrt(0.22397582))) * (0.03245853 - (x13 - x14))) * ((x24 - x44) * -0.28280842)) - -4.752909,7.239172992902187e-05,(-0.28280842*x24 + 0.28280842*x44)*(x28 - 0.473260837171216*x39)*(-x13 + x14 + 0.03245853) + 4.752909,PySRFunction(X=>(-0.28280842*x24 + 0.28280842*x44)*(x28 - 0.473260837171216*x39)*(-x13 + x14 + 0.03245853) + 4.752909)
