complexity,loss,equation,score,sympy_format,lambda_format
1,405.9978,45.22958,0.0,45.2295800000000,PySRFunction(X=>45.2295800000000)
3,405.3244,x1 + 45.23261,0.00083000336319688,x1 + 45.23261,PySRFunction(X=>x1 + 45.23261)
5,403.71594,(x3 * x1) + 44.843826,0.001988111148069061,x1*x3 + 44.843826,PySRFunction(X=>x1*x3 + 44.843826)
7,402.95587,(x3 * (x41 + x1)) - -44.95282,0.0009422298083396045,x3*(x1 + x41) - 1*(-44.95282),PySRFunction(X=>x3*(x1 + x41) - 1*(-44.95282))
9,402.29456,(x3 * (x1 - (x47 + x9))) - -44.870167,0.0008212478056957417,x3*(x1 - (x47 + x9)) - 1*(-44.870167),PySRFunction(X=>x3*(x1 - (x47 + x9)) - 1*(-44.870167))
11,401.5824,x20 + ((((x1 + x41) * x3) - -44.9522) + x0),0.00088590695062143,x0 + x20 + x3*(x1 + x41) - 1*(-44.9522),PySRFunction(X=>x0 + x20 + x3*(x1 + x41) - 1*(-44.9522))
13,400.92047,(((x3 * (x1 - (x47 + x9))) + x0) + x20) - -44.870167,0.0008248321281570385,x0 + x20 + x3*(x1 - (x47 + x9)) - 1*(-44.870167),PySRFunction(X=>x0 + x20 + x3*(x1 - (x47 + x9)) - 1*(-44.870167))
14,400.88733,(log(x20 - -1.0362253) + (x3 * (x41 + x1))) + (x0 - -45.44836),8.266320187669814e-05,x0 + x3*(x1 + x41) + log(x20 + 1.0362253) + 45.44836,PySRFunction(X=>x0 + x3*(x1 + x41) + log(x20 + 1.0362253) + 45.44836)
15,400.72687,((x0 + x20) - -44.73277) + (x3 * ((x9 * -1.4437457) + (x1 - x47))),0.00040034221485383225,x0 + x20 + x3*(x1 - x47 + x9*(-1.4437457)) - 1*(-44.73277),PySRFunction(X=>x0 + x20 + x3*(x1 - x47 + x9*(-1.4437457)) - 1*(-44.73277))
17,399.99585,(x20 + x0) + ((((x9 / -0.6460576) + ((x1 + x41) - x47)) * x3) - -44.810173),0.000912950494393983,x0 + x20 + x3*(x1 + x41 - x47 + x9/(-0.6460576)) - 1*(-44.810173),PySRFunction(X=>x0 + x20 + x3*(x1 + x41 - x47 + x9/(-0.6460576)) - 1*(-44.810173))
18,399.93616,(((x1 + ((x9 / -0.65553683) - x47)) * x3) + x0) + (log(x20 - -1.0362253) - -45.118454),0.0001492376836147369,x0 + x3*(x1 - x47 - 1.52546730288213*x9) + log(x20 + 1.0362253) + 45.118454,PySRFunction(X=>x0 + x3*(x1 - x47 - 1.52546730288213*x9) + log(x20 + 1.0362253) + 45.118454)
19,399.76657,(((x3 * (x1 + ((x9 / -0.4693922) + (x41 - (x47 * 1.7958742))))) + x20) - -44.897633) + x0,0.0004241326087313379,x0 + x20 + x3*(x1 + x41 - 1.7958742*x47 + x9/(-0.4693922)) - 1*(-44.897633),PySRFunction(X=>x0 + x20 + x3*(x1 + x41 - 1.7958742*x47 + x9/(-0.4693922)) - 1*(-44.897633))
20,399.25546,(x0 + log(x20 - -1.0362253)) + ((x3 * ((((x9 / -0.60813934) + x41) + x1) - x47)) - -45.118454),0.001279339118375726,x0 + x3*(x1 + x41 - x47 - 1.64435999157693*x9) + log(x20 + 1.0362253) + 45.118454,PySRFunction(X=>x0 + x3*(x1 + x41 - x47 - 1.64435999157693*x9) + log(x20 + 1.0362253) + 45.118454)
