target,feature_representation,r2,mae,equation,complexity,elapsed_time_seconds,n_equations
zeta,raw_scaled,-0.0008636127355212686,17.797696235899835,x1*x3 + 44.843826,5,36.179842948913574,13
log10_Tvir,raw_scaled,-3.7694207433858065,0.42832581195513747,4.748392 + 0.030820062/(x26/0.051543973 + 0.17598614),9,25.611980199813843,8
R_mfp,raw_scaled,0.46397645340634275,4.270769250827868,(-x17 - x51 + 1.3601621)/0.077864446,7,31.31358313560486,10
log10_LX,raw_scaled,-0.07552663885885647,1.018849657557295,sqrt(1598.5477 + x47/x33),6,31.550347089767456,11
sigma8,raw_scaled,0.9850739601842954,0.004159628936208153,x16*0.04298514 + 0.8248071,5,29.817343950271606,8
zeta,log_scaled,-0.001026897522461212,17.78431500470383,x1*x3 - 1*(-44.631496),5,31.841352939605713,9
log10_Tvir,log_scaled,-0.018167806791121732,0.3785510033757797,4.7448277 - (-0.28816974)*x24*x24*(x13 - x14),11,29.772277116775513,13
R_mfp,log_scaled,0.45050388687879117,4.3812601354734,(x38 - (x12 + x46))*3.6185212 - 1*(-17.534563),9,35.49024701118469,11
log10_LX,log_scaled,-0.03297097654051995,1.0071286359022324,sqrt(1597.8392 + 0.4432827/(x38 + 0.4896771)),8,29.25333595275879,13
sigma8,log_scaled,0.9858848588066602,0.004100274271407782,2.53717309224262*sqrt(-1/(x16 - 9.539534)),5,27.24505877494812,9
